id_sppg,nama,prov,kab,kec,desa,alamat,lat,lon,presisi,kode_kab_bps,kode_kec_bps
S18029,SPPG Cilacap Wanareja Madusari,JAWA TENGAH,CILACAP,WANAREJA,MADUSARI,"Jl. Wanareja Candipura,Dusun Candipura, Kelurahan Madusari, Kecamatan Wanareja, Kabupaten Cilacap Provinsi Jawa Tengah",-7.30763,108.67695,kecamatan,3301,3301020
S18030,SPPG Magetan Kawedanan Kawedanan,JAWA TIMUR,MAGETAN,KAWEDANAN,KAWEDANAN,"Jl. Pancasila, Rt.01/Rw.01 Kelurahan Kawedanan, Kecamatan Kawedanan, Kabupaten Magetan, Provinsi Jawa Timur",-7.69671,111.4097,kecamatan,3520,3520050
S18031,SPPG Pringsewu Gading Rejo Gading Rejo Utara,LAMPUNG,PRINGSEWU,GADING REJO,GADING REJO UTARA,"Jl. Pendidikan No 89 Rt 01 Rw 01 Desa Gadingrejo Utara, Kecamatan Gadingrejo, Kab Pringsewu , Provinsi Lampung",-5.36268,105.02068,kecamatan,1810,1810050
S18032,SPPG Bekasi Serang Baru Sukasari 5,JAWA BARAT,BEKASI,SERANG BARU,SUKASARI,"Jl. Raya Serang Baru Desa Sukasari, Kec. Serang Baru, Kab. Bekasi Jawa Barat",-6.40115,107.13664,kecamatan,3216,3216021
S18033,SPPG Karawang Karawang Timur Palumbonsari 3,JAWA BARAT,KARAWANG,KARAWANG TIMUR,PALUMBONSARI,"Kampung Lamaran Rt.3/Rw 06 Kel. Palumbonsari, Kec. Karawang Timur, Kab. Karawang, Jawa Barat",-6.3054,107.32023,kecamatan,3215,3215112
S18034,SPPG Kepulauan Sula Sulabesi Timur Waigoiyofa,MALUKU UTARA,KEPULAUAN SULA,SULABESI TIMUR,WAIGOIYOFA,"Desa Waigoiyofa Rt 006 Rw 003, Kec. Sulabesi Timur, Kab. Kepulauan Sula, Maluku Utara",-2.41667,126.03497,kecamatan,8203,8203022
S18035,SPPG Ciamis Panjalu Maparah,JAWA BARAT,CIAMIS,PANJALU,MAPARAH,"Dusun Panggaray Rt 028 Rw 011, Desa Maparah, Kecamatan Panjalu, Kabupaten Ciamis, Jawa Barat",-7.13899,108.27334,kecamatan,3207,3207290
S18036,SPPG Bengkayang Samalantan Samalantan,KALIMANTAN BARAT,BENGKAYANG,SAMALANTAN,SAMALANTAN,"Dusun Jirak Rt 002 Rw0 01, Desa Samalantan, Kec. Samalantan, Kab. Bengkayang, Kalimantan Barat",0.79113,109.196,kecamatan,6102,6102030
S18037,SPPG Kota Pontianak Pontianak Timur Tanjung Hulu 3,KALIMANTAN BARAT,KOTA PONTIANAK,PONTIANAK TIMUR,TANJUNG HULU,"Jl. Sei Landak No. 89, Tanjung Hulu, Kec. Pontianak Timur, Kota Pontianak, Kalimantan Barat",-0.03081,109.36048,kecamatan,6171,6171020
S18038,SPPG Sukabumi Cisaat Cisaat,JAWA BARAT,SUKABUMI,CISAAT,CISAAT,"Jl. Veteran No. 66, Desa/Kelurahan Cisaat, Kecamatan Cisaat, Kabupaten Sukabumi, Jawa Barat.",-6.89803,106.89455,kecamatan,3202,3202200
S18039,SPPG Pemalang Petarukan Temuireng 1,JAWA TENGAH,PEMALANG,PETARUKAN,TEMUIRENG,"Rt 38 Rw 6, Temuireng, Kecamatan Petarukan, Kabupaten Pemalang, Jawa Tengah",-6.88483,109.46161,kecamatan,3327,3327100
S18040,SPPG Bandung Cicalengka Cicalengka Kulon,JAWA BARAT,BANDUNG,CICALENGKA,CICALENGKA KULON,"Kampung Ciayunan Rt.02 Rw.05, Cicalengka Kulon, Kec. Cicalengka, Kab. Bandung, Jawa Barat",-6.98594,107.84012,kecamatan,3204,3204100
S18041,SPPG Lombok Barat Gerung Dasan Geres 2,NUSA TENGGARA BARAT,LOMBOK BARAT,GERUNG,DASAN GERES,"Jl. Jendral Sudirman, Lingkungan Dasan Geres Barat",-8.69587,116.12413,kecamatan,5201,5201020
S18042,SPPG Indragiri Hilir Tembilahan Sungaiberingin,RIAU,INDRAGIRI HILIR,TEMBILAHAN,SUNGAIBERINGIN,"Jl. Tanjung Harapan, Gang Tanjung Uban",-0.3146,103.15673,kecamatan,1403,1403060
S18043,SPPG Garut Cilawu Karyamekar,JAWA BARAT,GARUT,CILAWU,KARYAMEKAR,"Kp. Cigandok RT 03 RW 10 Desa Karyamekar Kecamatan Cilawu Kabupaten Garut, Jawa Barat",-7.29895,107.89393,kecamatan,3205,3205140
S18044,SPPG Cianjur Pacet Sukanagalih 2,JAWA BARAT,CIANJUR,PACET,SUKANAGALIH,"KOTA BUNGA SUKANAGALIH, DESA SUKANAGALIH, KEC. PACET, KAB. CIANJUR",-7.12049,107.70441,kecamatan,3203,3203220
S18045,SPPG Subang Serangpanjang Ponggang,JAWA BARAT,SUBANG,SERANGPANJANG,PONGGANG,"Jl. Kampung Cibitung I, Ponggang, Kec. Serangpanjang, Kab. Subang, Jawa Barat",-6.63027,107.60969,kecamatan,3213,3213011
S18046,SPPG Kuantan Singingi Singingi Sungaisirih,RIAU,KUANTAN SINGINGI,SINGINGI,SUNGAISIRIH,"Jl. Mawar Jalur IV RT 10 RW 04, Desa Sungai Sirih, Kec. Singingi, Kab. Kuantan Singingi, Riau",-0.40452,101.29773,kecamatan,1401,1401020
S18047,SPPG Tangerang Cikupa Sukamulya 6,BANTEN,TANGERANG,CIKUPA,SUKAMULYA,"Jl. Raya Peusar Kampung Kadu Rt 07 Rw 03, Kel. Sukamulya, Kec. Cikupa, Kab. Tangerang, Banten",-6.21677,106.52305,kecamatan,3603,3603030
